
10pin,Bowlingbaan
9pin,Kegelbaan
abandoned,Opgeheven weg
accountant,Boekhouder
adit,Mijnopening
administrative,Administratieve grens
administrative_city,Gemeente
administrative_continent,Continent
administrative_country,Land
administrative_county,Provincie
administrative_farm,Boerderij
administrative_hamlet,Gehucht
administrative_island,Eiland
administrative_isolated_dwelling,Einzelsiedlung
administrative_locality,unbewohnter Ort
administrative_neighbourhood,Stadtviertel
administrative_ocean,Oceaan
administrative_region,Regio
administrative_sea,Zee
administrative_state,Staat
administrative_suburb,Voorstad
administrative_town,Plaats
administrative_village,Dorp
aed,Defibrillator
aerialway_cable_car,Kabelbaan
aerialway_chair_lift,Stoeltjeslift
aerialway_drag_lift,Sleeplift
aerialway_gondola,Cabinelift
aerialway_goods,Materialenlift
aerialway_mixed_lift,Gemende lift
aerialway_station,Liftstation
aerodrome,Luchthaven
aeroway_apron,Platform
aeroway_gate,Gate
aeroway_runway,Start- en landingsbaan
aeroway_taxiway,Taxibaan
airfield,Vliegveld
airport,Luchthaven
alcohol,Slijterij
allotments,Volkstuinen
alpine_hut,Berghut
ambulance_station,Ambulancepost
american_football,Amerikaans voetbal
anchorage,Ankergrond
anchor_berth,Ligplaats
antenna,Antenne
apartments,Appartement
apparel,Kledingwinkel
archaeological_site,Archeologische site
archery,Boogschieten
architect,Architect
art,Kunstwinkel
arts_centre,Kunstcollectief
artwork,Kunst
athletics,Atletiek
atm,Geldautomaat
attraction,Attractie
auditorium,Auditorium
australian_football,Australisch voetbal
baby_hatch,Babyluik
badminton,Badminton
bakery,Bakkerij
bank,Bank
bar,Bar
bare_rock,Kale rots
barracks,Barakken
barrier_block,TODO
barrier_entrance,TODO
base,Basis
baseball,Honkbal
basin,Waterbekken
basketball,Basketbal
battlefield,Slagveld
bay,Baai
bbq,Barbecue
beach_resort,Badplaats
beach,Strand
beachvolleyball,Strandvolleybal
beacon,Baken
beauty,Schoonheidssalon
bed_and_breakfast,Pension
bench,Bankje
beverages,Frisdrankverkooppunt
bicycle,Fietsenwinkel
bicycle_parking,Fietsenstalling
bicycle_rental,Fietsverhuur
biergarten,Biertuin
billboard,Billboard
bird_hide,Vogelkijkuit
bitcoin_yes,TODO
bmx,Crossfiets
boat_sharing,TODO
boatyard,Scheepswerf
bollard,Paaltje
books,Boekenwinkel
boules,TODO
boundary_stone,Grenspaal
boutique,Boetiek
bowls,TODO
boxing,Boxen
breakwater,Golfbreker
brewery,Brouwerij
bridge,Brug
bridleway,Ruiterpad
brothel,Bordeel
brownfield,Braakliggend terrein
building,Historisch Gebouw
bunker,Bunker
bureau_de_change,Wisselkantoor
bus_guideway,Busbaan
bus_station,Busstation
bus_stop,Bushalte
butcher,Slagerij
byway,B-weg
cabin,Hut
cable_distribution_cabinet,Kabelverdeelkast
cafe,Café
camp_site,Kampeerterrein
canadian_football,Canadees voetbal
canal,Kanaal
canoe,Kano
cape,Kaap
car,Automaterialenwinkel
caravan_site,Caravankampeerterrein
car_dealer,Autodealer
car_parts,Autoonderdelen
carpenter,Timmerman
carpet,Tapijtzaak
car_rental,Autoverhuur
car_repair,Autogarage
car_sharing,Autodelen
car_wash,Autowasstraat
casino,Casino
castle,Kasteel
cattle_grid,TODO
cave_entrance,Grotingang
cemetery,Begraafplaats
chain,Ketting
chalet,Vakantiehuisje
channel,Kanaal
chapel,Kapel
charging_station,Oplaadstation
charity,Liefdadigheidswinkel
chemist,Apotheek
chess,Schaken
chimney,Schoorsteen
church,Kerk
cinema,Bioscoop
city_gate,Stadspoort
city_hall,Gemeentehuis
city,Stad
city_walls,Stadsmuur
cliff,Klif
climbing,Klimmen
clinic,Kliniek
clock,Klok
clothes,Kleding
club,Club
coast_guard,Kustwacht
coastline,Kustlijn
college,Hogeschool
commercial,Commercieel gebied
common,Meent
communications_tower,Communicatietoren
community_centre,Gemeenschapscentrum
company,Bedrijf
compressed_air,Perslucht
computer,Computerwinkel
confectionery,Snoepverkooppunt
connector,Waterverbinding
conservation,Natuurbeheer
construction,Bouwplaats
convenience,Gemakswinkel
copyshop,Copyshop
cosmetics,Cosmeticawinkel
country,Land
county,District
courthouse,Rechtbank
crane,Hijskraan
crater,Krater
crematorium,Crematorium
cricket,Cricket
cricket_nets,TODO
croquet,Croquet
cutline,Bandgang
cycle_barrier,Fietsbarriëre
cycleway,Fietspad
cycling,Fietsen
dam,Dam
dance,Dansen
danger_area,Gevaarlijk gebied
deli,Delicatessenwinkel
dentist,Tandarts
department_store,Warenhuis
derelict_canal,Onbeheerd kanaal
desert,Woestijn
discount,Discountwinkel
distance_marker,Afstandsmarkering
disused,Ongebruikte spoorweg
disused_station,Ongebruikt spoorwegstation
ditch,Sloot
diving,Duiken
dock,Dock
doctors,Dokter
dog_park,Hondenpark
dog_racing,Hondenracen
doityourself,Doe-het-zelf-winkel
dormitory,Studentenhuis
drain,Afvoerkanaal
drinking_water,Drinkwater
driving_school,Rijschool
drugstore,Drogisterij
dry_cleaning,Stomerij
dry_dock,Droogdok
dyke,Dijk
educational_institution,Educatief instituut
electrician,Elektricien
electronics,Elektronicawinkel
embankment,Indijking
embassy,Ambassade
emergency_access_point,Noodafslag
emergency_phone,Noodtelefoon
employment_agency,Arbeidsbureau
enforcement_check,Controle
enforcement_maxheight,Maximale hoogte
enforcement_maxspeed,Maximale snelheid
enforcement_mindistance,Minimale afstand
enforcement_traffic_signals,Veerkeerslichten
entrance,Ingang
equestrian,Paardensport
estate_agent,Makelaar
fabric,TODO
faculty,Faculteitsgebouw
farm,Boerderij
farmland,Landbouwgrond
farmyard,Boerenerf
fashion,Modewinkel
fast_food,Fast food
feature,Bezienswaardigheid
fell,Fjell
fence,Hek
fencing,Schermen
ferry_terminal,Veerterminal
fire_extinguisher,Brandblusser
fire_flapper,TODO
fire_hose,Brandslang
fire_hydrant,Brandkraan
fire_station,Brandweer
fire_water_pond,TODO
first_aid,Eerste hulp
fishing,Visvijver
fish_pass,Visvergunning
fish,Viswinkel
fjord,Fjord
flagpole,Vlaggenmast
flats,Flat
florist,Bloemist
food_court,TODO
food,Etenswarenwinkel
